participant_id,file_name,category,metric
bba33826-9a21-21bb-7c28-0c885ac351cd,Gucci-001_Image,Fashion,0
bba33826-9a21-21bb-7c28-0c885ac351cd,Intel-001_Image,Electronics,0
bba33826-9a21-21bb-7c28-0c885ac351cd,Nokia-001_Image,Electronics,0
bba33826-9a21-21bb-7c28-0c885ac351cd,OnePlus-001_Image,Electronics,0
bba33826-9a21-21bb-7c28-0c885ac351cd,Sonos-001_Image,Electronics,0
bba33826-9a21-21bb-7c28-0c885ac351cd,Asus-001_Image,Electronics,0
bba33826-9a21-21bb-7c28-0c885ac351cd,BeatsByDre-001_Image,Electronics,0
bba33826-9a21-21bb-7c28-0c885ac351cd,Samsung-001_Image,Electronics,0
bba33826-9a21-21bb-7c28-0c885ac351cd,Marshall-001_Image,Electronics,0
bba33826-9a21-21bb-7c28-0c885ac351cd,HP-001_Image,Electronics,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Amazon-001_Image,Electronics,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Cheerios-001_Image,Food & Beverage,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Heineken-001_Image,Food & Beverage,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Heinz-001_Image,Food & Beverage,86.66666667
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Jif-001_Image,Food & Beverage,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Kinder-001_Image,Food & Beverage,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,KitKat-001_Image,Food & Beverage,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Lipton-001_Image,Food & Beverage,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Oreo-001_Image,Food & Beverage,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Pepsi-001_Image,Food & Beverage,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Snickers-001_Image,Food & Beverage,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,DKNY-001_Image,Fashion,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Lacoste-001_Image,Fashion,83.33333333
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Hermes-001_Image,Fashion,96.66666667
bbfd0aa7-d976-1782-39a9-3ed6d268313b,CalvinKlein-001_Image,Fashion,66.66666667
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Versace-001_Image,Fashion,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Givenchy-001_Image,Fashion,70
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Celine-001_Image,Fashion,73.33333333
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Adidas_001_Image,Fashion,93.33333333
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Fossil-001_Image,Fashion,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Gucci-001_Image,Fashion,90
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Intel-001_Image,Electronics,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Nokia-001_Image,Electronics,76.66666667
bbfd0aa7-d976-1782-39a9-3ed6d268313b,OnePlus-001_Image,Electronics,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Sonos-001_Image,Electronics,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Asus-001_Image,Electronics,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,BeatsByDre-001_Image,Electronics,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Samsung-001_Image,Electronics,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,Marshall-001_Image,Electronics,0
bbfd0aa7-d976-1782-39a9-3ed6d268313b,HP-001_Image,Electronics,80
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Amazon-001_Image,Electronics,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Cheerios-001_Image,Food & Beverage,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Heineken-001_Image,Food & Beverage,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Heinz-001_Image,Food & Beverage,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Jif-001_Image,Food & Beverage,0
